Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)",Score_AG (P),Time_est
000-03ZF-0000,0.8480916656980959,006-000W-0000,"https://media.ng-london.org.uk/iiif/009-00H7-0000/full/256,/0/default.jpg",Uncategorised,0,0.586676446863664,19
000-01CT-0000,0.8478450739569401,006-001J-0000,"https://media.ng-london.org.uk/iiif/009-015S-0000/full/256,/0/default.jpg",Uncategorised,0,0.5865058643990809,59
000-0193-0000,0.8477420151945148,006-000M-0000,"https://media.ng-london.org.uk/iiif/009-014B-0000/full/256,/0/default.jpg",Uncategorised,0,0.5864345724019969,15
000-01EY-0000,0.8472290272017879,006-001S-0000,"https://media.ng-london.org.uk/iiif//full/256,/0/default.jpg",Uncategorised,0,0.5860797074917176,34
000-03WJ-0000,0.8472008162266702,006-001F-0000,"https://media.ng-london.org.uk/iiif/009-00UG-0000/full/256,/0/default.jpg",Uncategorised,0,0.5860601922490686,52
000-03JL-0000,0.8471969847599632,006-000O-0000,"https://media.ng-london.org.uk/iiif/009-01BV-0000/full/256,/0/default.jpg",Uncategorised,0,0.5860575417911466,40
000-04QW-0000,0.8470228485458837,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00UP-0000/full/256,/0/default.jpg",Uncategorised,0,0.585937081209492,15
000-03IJ-0000,0.8469402464347984,006-001B-0000,"https://media.ng-london.org.uk/iiif/009-0154-0000/full/256,/0/default.jpg",Uncategorised,0,0.585879940318955,35
000-02SW-0000,0.8469241410673662,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00IW-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.5858687992594178,29
000-04S3-0000,0.8468758051729539,006-0018-0000,"https://media.ng-london.org.uk/iiif/009-011C-0000/full/256,/0/default.jpg",Death,0,0.5858353623893992,58
000-03S0-0000,0.8467950670521618,006-000C-0000,"https://media.ng-london.org.uk/iiif/009-00IR-0000/full/256,/0/default.jpg",Uncategorised,0,0.5857795109340099,33
000-032F-0000,0.8466570523614978,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-001B-0000/full/256,/0/default.jpg",Uncategorised,0,0.5856840378010826,50
000-02Z0-0000,0.8466429494973546,006-001M-0000,"https://media.ng-london.org.uk/iiif/009-00GZ-0000/full/256,/0/default.jpg",Uncategorised,0,0.5856742819945339,38
000-03GJ-0000,0.8465990253322184,006-001Y-0000,"https://media.ng-london.org.uk/iiif/009-01AL-0000/full/256,/0/default.jpg",Uncategorised,0,0.5856438969852527,58
000-04N3-0000,0.8462927473817832,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-014V-0000/full/256,/0/default.jpg",Uncategorised,0,0.5854320259493946,39
000-03VV-0000,0.8462758301359505,006-000I-0000,"https://media.ng-london.org.uk/iiif/009-00SJ-0000/full/256,/0/default.jpg",Uncategorised,0,0.5854203232643227,36
000-03V2-0000,0.8462672775561949,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-001R-0000/full/256,/0/default.jpg",Uncategorised,0,0.5854144069261419,43
000-04HN-0000,0.8462639844212663,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0163-0000/full/256,/0/default.jpg",Uncategorised,0,0.585412128864964,45
000-02QA-0000,0.8461452243395615,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00OJ-0000/full/256,/0/default.jpg",Uncategorised,0,0.5853299753129579,30
000-03RC-0000,0.8461319946315671,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01VO-0000/full/256,/0/default.jpg",Uncategorised,0,0.5853208235214793,49
000-01AK-0000,0.8461206221955249,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01B5-0000/full/256,/0/default.jpg",Water,0,0.5853129565176645,54
000-03PL-0000,0.8459712548589655,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00DP-0000/full/256,/0/default.jpg",Uncategorised,0,0.5852096300709672,28
000-02P0-0000,0.8458825627665436,006-000B-0000,"https://media.ng-london.org.uk/iiif/009-01I1-0000/full/256,/0/default.jpg",Uncategorised,0,0.5851482763709468,39
000-04P4-0000,0.8457819474752957,006-0001-0000,"https://media.ng-london.org.uk/iiif/009-00KN-0000/full/256,/0/default.jpg",Uncategorised,0,0.5850786746710871,27
000-030D-0000,0.8455656896419148,006-000R-0000,"https://media.ng-london.org.uk/iiif/009-01MV-0000/full/256,/0/default.jpg",Uncategorised,0,0.5849290760104401,55
000-01A1-0000,0.8455653409715769,006-001L-0000,"https://media.ng-london.org.uk/iiif/009-01X1-0000/full/256,/0/default.jpg",Uncategorised,0,0.5849288348140185,29
000-03GF-0000,0.8455511427704598,006-001J-0000,"https://media.ng-london.org.uk/iiif/009-00KQ-0000/full/256,/0/default.jpg",Uncategorised,0,0.5849190130571021,51
000-04MV-0000,0.8454457619114297,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00PA-0000/full/256,/0/default.jpg",Uncategorised,0,0.5848461147249481,45
000-04PF-0000,0.8453804547570085,006-000A-0000,"https://media.ng-london.org.uk/iiif/009-00QW-0000/full/256,/0/default.jpg",Uncategorised,0,0.5848009378049754,29
000-03T6-0000,0.845310964039721,006-001V-0000,"https://media.ng-london.org.uk/iiif/009-000S-0000/full/256,/0/default.jpg",Uncategorised,0,0.5847528668608108,59
000-03VZ-0000,0.8451202246636536,006-001O-0000,"https://media.ng-london.org.uk/iiif/009-00Y3-0000/full/256,/0/default.jpg",Uncategorised,0,0.5846209208649307,40
000-02OJ-0000,0.8450464070803387,006-001I-0000,"https://media.ng-london.org.uk/iiif/009-016A-0000/full/256,/0/default.jpg",Uncategorised,0,0.5845698567650853,47
000-0409-0000,0.845010973662589,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00QJ-0000/full/256,/0/default.jpg",Uncategorised,0,0.5845453453207846,36
000-02QC-0000,0.8449555906501027,006-000K-0000,"https://media.ng-london.org.uk/iiif/009-005A-0000/full/256,/0/default.jpg",Womens Lives,0,0.5845070335317455,28
000-02PN-0000,0.8447569478477615,006-0025-0000,"https://media.ng-london.org.uk/iiif/009-00W0-0000/full/256,/0/default.jpg",Uncategorised,0,0.5843696202565228,33
000-03LN-0000,0.8446083564970159,006-001Q-0000,"https://media.ng-london.org.uk/iiif/009-01JM-0000/full/256,/0/default.jpg",Battles_and_Commanders,0,0.5842668306062812,47
000-02S9-0000,0.8444491052745742,006-0007-0000,"https://media.ng-london.org.uk/iiif/009-00ZV-0000/full/256,/0/default.jpg",Uncategorised,0,0.5841566668762037,21
